Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games
Dudi Sela,46,31,16,12,3,8,4,3,175,99,85,660,0.38867755817923977,0.3757974579032429,0.09869207772795216,76,25
Dusan Lajovic,53,37,14,13,4,8,5,2,180,110,71,970,0.38173360857512223,0.3836485890130254,0.32629413511766453,82,26
Dustin Brown,54,39,17,13,9,8,5,5,196,96,109,530,0.3884549920063386,0.39200415841433894,0.19602446483180427,88,28
Edouard Roger Vasselin,52,37,15,13,4,7,4,2,188,107,91,640,0.3596183960448889,0.38875640062211547,0.2832286511863977,83,26
Eduardo Schwank,52,35,17,13,5,8,5,3,183,114,83,670,0.32831668680565107,0.3777252252252252,0.34203265765765767,84,26
Egor Gerasimov,53,38,14,13,8,7,4,4,196,110,120,642,0.4551152357494722,0.5265433999270206,0.34424261083743846,83,26
Emil Ruusuvuori,50,35,13,12,4,7,4,4,188,114,94,852,0.4374274165089346,0.32577164446721313,0.3976007513661203,77,25
Ernests Gulbis,49,37,15,13,9,7,4,4,190,109,67,1034,0.47500232876502346,0.47273248501910947,0.20104174966138155,81,26
Evgeny Donskoy,48,34,17,12,5,7,5,2,185,105,104,588,0.30042781633183413,0.317496754015172,0.08747586872586874,82,26
Evgeny Korolev,48,34,16,13,5,7,4,4,185,104,110,562,0.4024588547959932,0.40430848019660315,0.10351966873706003,82,26
Fabio Fognini,48,32,16,12,3,8,5,4,178,108,41,1401,0.5044522943618461,0.5093864496168296,0.4684520447009702,81,25
Fabrice Santoro,47,32,17,12,5,8,5,2,178,109,52,783,0.4395817667300125,0.47534157633242996,0.3693830728891704,81,25
Facundo Bagnis,51,34,15,13,5,9,5,3,183,112,110,586,0.25635900095065245,0.23337568058076225,0.1361083743842364,83,25
Federico Delbonis,48,33,15,12,3,7,4,3,190,111,71,844,0.4367631646243447,0.44700616942796667,0.2697644127307736,79,25
Feliciano Lopez,50,37,18,13,11,6,4,4,188,109,40,1200,0.49039026393628704,0.4982424839798978,0.10501690650310602,84,27
Felix Auger Aliassime,50,37,14,13,9,6,4,4,193,120,28,2362,0.5893976308400194,0.5330875199777638,0.6760208926875593,79,26
Fernando Gonzalez,53,39,17,13,7,7,4,3,183,111,30,1882,0.6073834288916864,0.5899495378579297,0.260128343899799,86,28
Fernando Verdasco,54,38,14,13,6,7,4,4,188,113,33,1519,0.5271282746712178,0.5289177674483504,0.2478694432182804,81,26
Filip Krajinovic,48,34,14,12,4,7,4,2,185,104,73,1050,0.45406519985120525,0.47276099235092506,0.38133893726728,77,24
Filippo Volandri,49,31,11,11,1,8,4,2,183,96,65,725,0.3607277417296032,0.3729650140646976,0.0,73,23
Flavio Cipolla,50,31,11,11,1,10,6,4,173,106,110,554,0.30297331837646235,0.3003675387042527,0.2207525730598753,76,23
Florent Serra,51,34,16,12,4,9,5,2,180,100,74,701,0.39127833701657866,0.40019724278192564,0.052778796771826855,84,25
Florian Mayer,46,32,14,12,4,7,4,2,190,93,63,932,0.4383025741534511,0.45962258355058294,0.19761784076993755,75,24
Frances Tiafoe,54,38,18,14,7,8,5,3,188,121,64,1082,0.4428318266998244,0.40927049684907946,0.5123999340318126,89,28
Frank Dancevic,48,34,16,13,8,7,4,3,185,96,140,412,0.32858908160112976,0.3196205503897811,0.6245421245421245,79,26
Frederico Gil,48,31,13,12,2,8,5,2,178,105,101,617,0.4048919860627177,0.4126252771618625,0.370791403718233,77,23
Gael Monfils,51,37,15,13,8,6,4,4,193,108,30,1759,0.6160385436817999,0.6200628358656529,0.45741870967136855,81,26
Gaston Gaudio,51,33,15,12,2,9,5,4,175,114,55,1579,0.4898639169472503,0.4877314814814815,0.10403163580246913,81,25
